Algarrobo,Caracterización,Pobreza,,3.97%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",326,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Alhué,Caracterización,Pobreza,,7.41%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",295,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Alto Bío Bío,Caracterización,Pobreza,,49.09%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",1,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Alto del Carmen,Caracterización,Pobreza,,4.15%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",324,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Alto Hospicio,Caracterización,Pobreza,,16.26%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",152,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Ancud,Caracterización,Pobreza,,8.08%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",286,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Andacollo,Caracterización,Pobreza,,16.23%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",154,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Angol,Caracterización,Pobreza,,40.70%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",3,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Antofagasta,Caracterización,Pobreza,,6.90%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",305,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Antuco,Caracterización,Pobreza,,34.43%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",15,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Arauco,Caracterización,Pobreza,,16.99%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",145,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Arica,Caracterización,Pobreza,,12.68%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",218,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Aysén,Caracterización,Pobreza,,17.56%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",135,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Buin,Caracterización,Pobreza,,9.54%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",263,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Bulnes,Caracterización,Pobreza,,25.00%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",63,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cabildo,Caracterización,Pobreza,,10.79%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",248,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cabo de Hornos,Caracterización,Pobreza,,5.47%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",317,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cabrero,Caracterización,Pobreza,,25.15%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",60,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Calama,Caracterización,Pobreza,,10.34%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",250,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Calbuco,Caracterización,Pobreza,,8.96%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",271,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Caldera,Caracterización,Pobreza,,13.24%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",210,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Calera de Tango,Caracterización,Pobreza,,12.82%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",214,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Calle Larga,Caracterización,Pobreza,,6.46%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",307,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Camarones,Caracterización,Pobreza,,10.33%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",251,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Camiña,Caracterización,Pobreza,,11.43%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",238,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Canela,Caracterización,Pobreza,,13.81%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",197,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cañete,Caracterización,Pobreza,,25.04%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",62,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Carahue,Caracterización,Pobreza,,33.46%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",18,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cartagena,Caracterización,Pobreza,,18.94%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",113,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Casablanca,Caracterización,Pobreza,,11.51%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",236,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Castro,Caracterización,Pobreza,,12.23%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",224,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Catemu,Caracterización,Pobreza,,8.17%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",283,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cauquenes,Caracterización,Pobreza,,28.89%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",35,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cerrillos,Caracterización,Pobreza,,7.40%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",296,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cerro Navia,Caracterización,Pobreza,,18.09%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",126,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Chaitén,Caracterización,Pobreza,,,No existe dato de pobreza para esta comuna,,,,,,,,SI
Chanco,Caracterización,Pobreza,,18.86%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",114,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Chañaral,Caracterización,Pobreza,,23.86%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",71,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Chépica,Caracterización,Pobreza,,14.54%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",185,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Chiguayante,Caracterización,Pobreza,,15.93%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",158,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Chile Chico,Caracterización,Pobreza,,12.69%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",217,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Chillán,Caracterización,Pobreza,,15.96%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",156,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Chillán Viejo,Caracterización,Pobreza,,21.24%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",93,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Chimbarongo,Caracterización,Pobreza,,18.62%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",116,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cholchol,Caracterización,Pobreza,,37.16%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",7,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Chonchi,Caracterización,Pobreza,,8.15%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",284,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cisnes,Caracterización,Pobreza,,4.84%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",318,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cobquecura,Caracterización,Pobreza,,29.36%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",más,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",31,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
Cochamó,Caracterización,Pobreza,,6.46%,"de los habitantes de la comuna viven bajo la línea de la pobreza, ",menos,"que el promedio nacional de 15,10%.","En el Ranking, la comuna se ubica en el lugar ",306,", siendo 1 la comuna con más pobreza y 334 la con menos.",,,SI
